fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.7799257968067206,0.3876590284586798,0.11972679183159624,0.2725399765164447,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
4500.0,0.5952136355109297,0.22148314034363176,0.08124464442411966,0.29248585074317823,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
5500.0,0.4305322628605411,0.20245217563683224,0.08001189414213494,0.14806819308157393,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
6500.0,0.521322415260394,0.16218208748098534,0.21245911653159918,0.14668121124780947,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7000.0,0.4008392333311277,0.19647397016549406,0.0901949756280464,0.11417028753758723,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
7500.0,0.48188205237385573,0.1892555531899795,0.1028741750053226,0.18975232417855364,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
8000.0,0.5022663610898906,0.21524771524771524,0.11590272472625415,0.17111592111592122,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8500.0,0.42106509023179306,0.17266696152145072,0.10208246382318673,0.14631566488715564,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
9000.0,0.5385648866201203,0.21570704104698002,0.16079145898899244,0.1620663865841477,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.27642837307785756,0.13821418653892878,0.0296500225623937,0.1085641639765351,58.5%,79.7%,19.5%,26.9%,75.1%,49.1%,47.9%,58.7%,61.3%,38.0%,31.9%,50.6%
10000.0,0.5472089645154595,0.26653800926886634,0.15408867676558058,0.1265822784810126,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
15000.0,0.29154367399981435,0.08101735821034067,0.0647544787895665,0.14577183699990715,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
